timestamp,cpu_percent,memory
1733481502,0.0,4657K
1733481505,0.0,4657K
1733481507,0.0,4657K
1733481509,0.0,4657K
1733481512,0.0,4657K
1733481514,0.0,4657K
1733481516,0.0,4657K
1733481519,0.0,4657K
1733481521,0.0,4657K
1733481523,0.0,4657K
1733481526,0.0,4657K
1733481528,0.0,4657K
1733481530,0.0,4657K
1733481533,0.0,4657K
1733481535,0.0,4657K
1733481537,0.0,4657K
1733481540,0.0,4657K
1733481542,0.0,4657K
1733481544,0.0,4657K
1733481547,0.0,4657K
1733481549,0.0,4657K
1733481552,0.0,4657K
1733481554,0.0,4657K
1733481556,0.0,4657K
1733481559,0.0,4657K
1733481561,0.0,4657K
1733481563,0.0,4657K
1733481566,0.0,4657K
1733481568,0.0,4657K
1733481570,0.0,4657K
1733481572,0.0,4657K
1733481575,0.0,4657K
1733481577,0.0,4657K
1733481579,0.0,4657K
1733481581,0.0,4657K
1733481584,0.0,4657K
1733481586,0.0,4657K
1733481588,0.0,4657K
1733481591,0.0,4657K
1733481593,0.0,4657K
1733481595,0.0,4657K
1733481597,0.0,4657K
1733481600,0.0,4657K
1733481602,5.1,8930K+
1733481605,6.1,10M+
1733481607,8.0,12M+
1733481610,27.3,16M+
1733481612,26.9,18M+
1733481614,24.7,18M
1733481617,27.5,18M+
1733481619,27.1,19M+
1733481621,24.7,19M
1733481624,27.6,19M
1733481626,27.2,19M+
1733481628,26.3,19M
1733481630,25.6,19M
1733481633,26.5,19M
1733481635,26.6,19M
1733481637,25.7,19M
1733481640,24.9,19M
1733481642,25.3,20M+
1733481644,25.9,20M
1733481647,25.5,20M+
1733481649,25.7,20M
1733481652,25.0,20M
1733481654,23.7,20M
1733481656,26.7,20M+
1733481659,24.3,21M+
1733481661,24.0,21M
1733481663,24.3,21M
1733481666,24.3,21M
1733481668,24.7,21M+
1733481670,24.8,21M
1733481673,24.2,21M
1733481675,25.0,21M
1733481677,24.6,21M
1733481680,24.8,21M
1733481682,24.0,21M
1733481684,25.8,21M
1733481687,20.6,22M+
1733481689,8.2,22M+
1733481692,7.8,22M+
1733481694,8.5,22M+
1733481696,7.8,22M
1733481698,7.8,22M
1733481701,7.6,22M+
1733481703,7.8,22M
1733481705,8.0,22M+
1733481708,8.1,22M+
1733481710,7.9,11M+
1733481712,7.7,11M
1733481714,7.7,12M+
1733481717,7.9,12M+
1733481719,7.0,14M+
1733481721,8.0,14M+
1733481724,7.3,14M
1733481726,7.8,14M
1733481728,7.3,14M-
1733481730,7.9,14M
1733481733,7.4,14M
1733481735,7.8,14M
1733481737,8.0,14M-
1733481740,7.9,14M+
1733481742,7.5,14M
1733481744,8.2,14M+
1733481747,7.9,14M+
1733481749,7.1,14M+
1733481751,7.7,14M
1733481753,8.4,15M+
1733481756,0.1,14M
1733481758,0.0,14M
1733481760,0.0,14M
1733481763,0.0,14M
1733481765,0.0,14M
1733481767,0.0,14M
1733481770,0.0,14M
1733481772,0.0,14M
1733481774,0.0,9346K
1733481777,0.0,9346K
1733481779,0.0,9346K
1733481781,0.0,9346K
1733481784,0.0,9234K
1733481786,0.0,9234K
1733481788,0.0,9058K-
1733481791,0.0,9058K
1733481793,0.0,9058K
1733481796,0.0,9058K
1733481798,0.0,9058K
1733481800,0.0,9058K
1733481803,0.0,9058K
1733481805,0.0,9058K
1733481807,0.0,9058K
1733481809,0.0,9058K
1733481812,0.0,9058K
1733481814,0.0,9058K
1733481816,0.0,9058K
1733481819,0.0,9058K
1733481821,0.0,9058K
1733481823,0.0,9058K
1733481826,0.0,9058K
1733481828,0.0,9058K
1733481830,0.0,9058K
1733481833,0.0,9058K
