timestamp,cpu_percent,memory
1733490091,0.0,6466K
1733490093,0.0,6466K
1733490095,0.0,6370K
1733490098,0.0,6370K
1733490100,0.0,6370K
1733490102,0.0,6370K
1733490105,0.0,6370K
1733490107,0.0,6370K
1733490110,3.7,8018K+
1733490112,11.4,11M+
1733490115,16.9,12M+
1733490117,17.2,14M+
1733490120,22.3,15M+
1733490122,24.8,15M+
1733490124,25.9,16M+
1733490127,25.6,16M
1733490129,26.5,16M
1733490132,22.2,16M-
1733490134,26.3,16M
1733490136,24.5,17M+
1733490139,24.1,17M+
1733490141,24.0,17M-
1733490144,24.0,17M+
1733490146,22.7,17M-
1733490148,23.5,17M
1733490151,23.5,17M
1733490153,23.9,17M+
1733490156,23.1,17M-
1733490158,23.9,17M
1733490160,23.3,17M-
1733490163,23.3,17M
1733490165,22.4,17M
1733490168,22.3,17M
1733490170,20.5,17M+
1733490173,21.3,17M
1733490175,16.3,17M+
1733490178,20.0,18M
1733490180,19.8,18M
1733490183,18.4,18M+
1733490185,18.0,18M+
1733490188,20.4,18M
1733490190,21.9,18M
1733490192,22.9,18M
1733490195,21.0,18M
1733490197,20.8,18M+
1733490200,22.0,19M+
1733490202,22.7,19M
1733490205,22.5,19M
1733490207,22.7,19M
1733490210,21.7,19M-
1733490212,22.7,19M
1733490215,21.2,19M
1733490217,21.7,19M
1733490220,22.2,19M
1733490222,20.9,19M+
1733490225,22.8,19M
1733490227,21.0,19M
1733490230,22.1,19M
1733490232,21.2,19M
1733490235,21.7,19M
1733490237,21.8,19M
1733490240,21.9,19M
1733490242,20.6,19M-
1733490244,21.0,19M
1733490247,19.9,19M
1733490249,20.7,19M
1733490252,20.8,19M-
1733490254,21.3,19M
1733490257,21.2,19M+
1733490259,21.6,19M-
1733490262,21.7,19M
1733490264,20.6,19M
1733490267,21.7,19M
1733490269,21.8,19M
1733490272,21.7,19M
1733490274,21.3,19M
1733490277,18.1,19M
1733490279,20.2,19M-
1733490282,21.0,19M
1733490284,20.5,19M
1733490287,20.6,19M
1733490289,20.9,19M-
1733490292,21.2,19M
1733490294,20.7,19M
1733490297,20.9,19M+
1733490299,20.5,19M-
1733490302,21.4,19M
1733490304,20.7,19M
1733490307,19.8,19M
1733490309,21.7,19M
1733490312,20.2,20M
1733490314,21.5,20M-
1733490317,21.3,20M
1733490319,20.1,20M
1733490322,21.9,20M-
1733490324,17.3,20M+
1733490327,21.5,20M
1733490329,20.7,20M
1733490332,22.0,20M
1733490334,20.5,20M
1733490337,20.2,20M
1733490339,20.6,20M
1733490342,21.7,20M
1733490344,20.7,20M
1733490347,21.7,20M
1733490349,20.7,20M
1733490352,20.6,20M-
1733490354,21.2,20M
1733490357,21.3,20M
1733490359,21.2,20M+
1733490362,21.5,20M
1733490364,21.8,20M
1733490367,19.8,20M+
1733490369,19.5,20M+
1733490372,18.6,20M-
1733490375,19.4,20M+
1733490377,20.3,20M-
1733490380,20.9,20M-
1733490382,20.2,20M+
1733490385,19.9,20M
1733490387,21.6,20M+
1733490390,20.9,20M
1733490392,20.2,20M
1733490395,19.1,20M
1733490397,20.7,20M
1733490400,21.8,20M
1733490402,21.7,20M
1733490405,21.5,20M
1733490407,22.0,20M+
1733490410,22.1,20M
1733490412,21.4,20M+
1733490415,20.9,20M
1733490417,20.3,20M-
1733490420,20.2,20M
1733490423,20.1,20M
1733490425,20.2,20M+
1733490428,21.3,20M
1733490430,21.1,21M
1733490433,20.0,20M
1733490435,19.7,20M
1733490438,21.8,20M+
1733490440,21.6,20M
1733490443,18.2,20M
1733490445,19.6,20M
1733490448,20.5,20M
1733490450,21.4,20M+
1733490453,20.0,20M-
1733490455,20.7,20M
1733490458,20.9,20M
1733490461,20.7,20M
1733490463,20.6,20M
1733490466,20.5,20M
1733490468,21.2,20M
1733490471,20.7,20M
1733490473,20.2,20M
1733490476,19.6,20M
1733490478,18.8,20M+
1733490481,21.3,20M
1733490483,21.6,20M-
1733490486,19.3,20M
1733490489,20.4,20M
1733490491,21.1,20M
1733490494,20.7,21M
1733490496,19.7,21M
1733490499,20.1,21M
1733490501,20.7,21M
1733490504,21.3,21M
1733490506,20.6,21M
1733490509,19.7,21M
1733490511,20.5,21M
1733490514,19.4,21M
1733490516,19.3,21M
1733490519,19.7,21M
1733490522,21.1,21M
1733490524,13.0,21M
1733490527,20.4,21M
1733490529,21.3,21M-
1733490532,19.5,21M
1733490534,19.1,21M
1733490537,20.0,21M
1733490539,19.0,21M
1733490542,21.1,21M
1733490544,20.1,21M
1733490547,19.5,21M
1733490550,19.8,21M
1733490552,19.4,21M
1733490555,19.4,21M
1733490557,19.6,21M
1733490560,19.7,21M
1733490562,19.2,21M
1733490565,18.0,21M+
1733490567,20.6,21M
1733490570,20.5,21M+
1733490572,19.2,21M-
1733490575,19.9,21M-
1733490578,19.9,21M
1733490580,20.4,21M+
1733490583,19.7,21M
1733490585,19.9,21M
1733490588,19.8,21M+
1733490590,19.7,21M
1733490593,19.8,21M
1733490595,19.7,21M
1733490598,17.2,21M+
1733490600,19.7,21M
1733490603,19.2,21M
1733490606,19.1,21M
1733490608,19.7,21M
1733490611,19.1,21M+
1733490613,19.7,21M
1733490616,20.5,21M-
1733490618,20.2,21M
1733490621,20.1,21M+
1733490623,19.6,21M
1733490626,20.3,21M+
1733490629,20.5,21M
1733490631,20.7,21M
1733490634,19.9,21M
1733490636,20.6,21M
1733490639,18.8,21M
1733490641,20.0,21M-
1733490644,19.5,21M
1733490646,20.4,21M-
1733490649,19.6,21M
1733490651,18.5,21M-
1733490654,18.8,21M
1733490657,17.8,21M
1733490659,19.9,21M
1733490662,20.6,21M
1733490664,21.0,21M+
1733490667,18.9,21M
1733490669,20.2,21M
1733490672,21.0,21M-
1733490674,17.9,21M
1733490677,20.5,21M+
1733490679,19.5,21M-
1733490682,21.0,21M+
1733490685,20.7,21M-
1733490687,20.6,21M
1733490690,19.9,21M
1733490692,20.2,21M
1733490695,20.1,21M
1733490697,20.8,21M
1733490700,20.5,21M
1733490702,20.4,21M
1733490705,21.6,21M
1733490707,20.0,21M
1733490710,17.6,21M
