timestamp,cpu_percent,memory
1733491134,0.0,5938K
1733491136,0.0,5938K
1733491139,0.0,5938K
1733491141,0.0,5938K
1733491143,0.0,5938K
1733491146,0.0,5938K
1733491148,0.0,5938K
1733491151,0.0,5938K
1733491153,0.0,5938K
1733491155,0.0,5938K
1733491158,0.0,5938K
1733491160,0.0,5938K
1733491162,0.0,5938K
1733491165,0.0,5938K
1733491167,0.0,5938K
1733491170,0.0,5938K
1733491172,0.0,5938K
1733491174,0.0,5938K
1733491177,0.0,5938K
1733491179,0.0,5938K
1733491181,0.0,5938K
1733491184,0.0,5938K
1733491186,0.0,5938K
1733491189,0.0,5938K
1733491191,0.0,5938K
1733491193,0.0,5938K
1733491196,0.0,5938K
1733491198,0.0,5938K
1733491201,0.0,5938K
1733491203,0.0,5938K
1733491205,0.0,5938K
1733491208,0.0,5938K
1733491210,0.0,5938K
1733491212,0.0,5938K
1733491215,0.0,5938K
1733491217,0.0,5938K
1733491220,0.0,5938K
1733491222,0.0,5938K
1733491224,0.0,5938K
1733491227,0.0,5938K
1733491229,0.0,5938K
1733491232,0.0,5938K
1733491234,0.0,5938K
1733491236,0.0,5938K
1733491239,0.0,5938K
1733491241,0.0,5938K
1733491243,0.0,5938K
1733491246,0.0,5938K
1733491248,0.0,5938K
1733491251,0.0,5938K
1733491253,0.0,5938K
1733491255,0.0,5938K
1733491258,0.0,5938K
1733491261,0.0,5938K
1733491263,0.0,5938K
1733491265,0.0,5938K
1733491268,0.0,5938K
1733491270,0.0,5938K
1733491273,0.0,5938K
1733491275,0.0,5938K
1733491277,0.0,5938K
1733491280,0.0,5938K
1733491282,0.0,5938K
1733491284,0.0,5938K
1733491287,0.0,5938K
1733491289,0.0,5938K
1733491291,0.0,5938K
1733491294,0.0,5938K
1733491296,0.0,5938K
1733491298,0.0,5938K
1733491301,0.0,5938K
1733491303,0.0,5938K
1733491305,0.0,5938K
1733491308,0.0,5938K
1733491310,0.0,5938K
1733491312,0.0,5938K
1733491315,0.0,5938K
1733491317,0.0,5938K
1733491319,0.0,5938K
1733491322,0.0,5938K
1733491324,0.0,5938K
1733491326,0.0,5938K
1733491329,6.5,11M+
1733491331,23.4,14M+
1733491333,32.2,17M+
1733491336,32.3,19M+
1733491339,41.1,21M+
1733491341,43.5,22M+
1733491343,42.4,22M+
1733491346,42.9,22M
1733491348,41.8,23M+
1733491351,39.4,23M+
1733491353,43.0,23M
1733491355,41.2,23M
1733491358,39.0,23M
1733491360,40.5,23M+
1733491363,38.5,23M+
1733491365,39.1,23M+
1733491368,38.3,24M
1733491370,37.8,24M
1733491373,37.2,24M
1733491375,38.1,24M+
1733491378,35.2,24M
1733491380,35.3,24M
1733491383,38.6,24M+
1733491385,27.8,24M+
1733491388,38.7,25M+
1733491390,37.0,25M+
1733491393,37.8,25M-
1733491395,35.2,25M
1733491398,33.2,25M
1733491400,27.9,25M+
1733491403,27.5,25M-
1733491406,27.3,25M
1733491408,30.3,25M+
1733491411,30.8,25M+
1733491413,30.2,25M
1733491416,28.9,25M
1733491418,22.9,25M
1733491421,13.5,25M+
1733491423,14.0,25M
1733491426,13.5,25M+
1733491428,13.5,25M
1733491431,13.6,25M
1733491433,12.9,25M
1733491435,9.5,25M
1733491438,0.0,13M-
1733491440,0.0,13M
1733491443,0.0,13M
1733491445,0.0,13M
1733491447,0.0,13M
1733491450,0.0,13M
1733491452,0.0,13M
1733491454,0.0,13M
1733491457,0.0,13M
1733491459,0.0,13M
1733491461,0.0,13M
1733491464,0.0,13M
1733491466,0.0,13M
1733491469,0.0,13M
1733491471,0.0,13M
1733491473,0.0,13M
1733491476,0.0,13M
1733491478,0.1,13M
1733491480,0.0,13M
1733491483,0.0,13M
1733491485,0.0,13M
1733491487,0.0,13M
1733491490,0.0,13M
1733491492,0.0,13M
1733491495,0.0,13M
1733491497,0.0,13M
1733491499,0.0,13M
1733491502,0.0,13M
1733491504,0.0,13M
1733491507,0.0,13M
1733491509,0.0,12M
1733491511,0.0,12M
1733491514,0.0,12M-
1733491516,0.0,12M-
1733491518,0.0,12M
1733491521,0.0,12M
1733491523,0.0,12M
1733491525,0.0,12M
1733491528,0.0,12M
1733491530,0.0,12M
1733491532,0.0,12M
1733491535,0.0,12M
1733491537,0.0,12M
1733491540,0.0,12M
1733491542,0.0,12M
1733491544,0.0,12M
1733491547,0.0,12M
1733491549,0.0,12M
1733491551,0.0,12M
1733491554,0.0,12M
1733491556,0.0,12M
1733491558,0.0,12M
1733491561,0.0,12M
1733491563,0.0,12M
1733491566,0.0,12M
1733491568,0.0,12M
1733491570,0.0,12M
1733491573,0.0,12M
1733491575,0.0,12M
1733491578,0.0,12M
1733491580,0.0,12M
1733491582,0.0,12M
1733491585,0.0,12M
1733491587,0.0,12M
1733491590,0.0,12M
1733491592,0.0,12M
1733491594,0.0,12M
1733491597,0.0,12M
1733491599,0.1,11M-
1733491602,0.0,11M
1733491604,0.0,11M
1733491606,0.0,11M
1733491609,0.0,11M
1733491611,0.0,11M
1733491614,0.0,11M
1733491616,0.0,11M
1733491618,0.0,11M
1733491621,0.0,11M
1733491623,0.0,11M
1733491626,0.0,11M
1733491628,0.0,11M
1733491630,0.0,11M
1733491633,0.0,11M
1733491635,0.0,11M
1733491637,0.0,11M
1733491640,0.0,11M
1733491642,%CPU,MEM
1733491644,,
1733491647,,
1733491649,,
1733491652,,
1733491654,,
1733491656,,
1733491659,,
1733491661,,
