timestamp,cpu_percent,memory
1733489436,19.7,18M
1733489439,20.0,18M
1733489441,19.9,18M
1733489444,15.4,18M+
1733489446,20.6,18M+
1733489449,20.0,18M
1733489451,19.1,18M
1733489454,18.9,18M-
1733489456,19.4,18M
1733489459,19.9,18M
1733489461,19.2,18M
1733489463,20.0,18M
1733489466,18.6,18M
1733489469,19.8,18M
1733489471,18.1,18M
1733489473,18.8,18M
1733489476,18.8,18M
1733489478,20.5,18M+
1733489481,17.9,18M+
1733489484,18.3,18M+
1733489486,18.7,18M-
1733489489,19.5,18M
1733489491,19.3,18M+
1733489494,19.6,18M
1733489496,18.5,18M
1733489499,18.4,18M-
1733489501,19.1,18M+
1733489504,16.3,18M
1733489506,19.7,18M
1733489509,19.9,18M
1733489511,20.8,18M
1733489514,17.9,18M
1733489516,17.1,18M
1733489519,17.6,18M
1733489521,15.4,18M
1733489524,15.0,18M+
1733489526,15.2,18M-
1733489529,16.3,18M+
1733489531,8.9,18M
1733489534,9.1,18M
1733489536,9.0,18M-
1733489538,9.7,18M
1733489541,10.8,18M+
1733489543,10.0,18M
1733489546,10.2,18M-
1733489548,9.9,18M
1733489551,9.4,18M
1733489553,10.6,18M
1733489555,9.3,18M
1733489558,10.3,18M
1733489560,9.9,18M+
1733489563,9.5,18M
1733489565,11.0,18M-
1733489567,4.9,18M
1733489570,4.6,18M
1733489572,4.9,18M+
1733489574,5.2,18M
1733489577,5.8,17M-
1733489579,0.0,17M
1733489581,0.0,17M
1733489584,0.0,17M
1733489586,0.0,17M
1733489588,0.0,17M
1733489591,0.0,17M
1733489593,0.0,17M
1733489596,0.0,17M
1733489598,0.0,17M
1733489600,0.0,17M
1733489603,0.0,17M
1733489605,0.0,17M
1733489607,0.0,17M
1733489610,0.0,17M
1733489612,0.0,17M
1733489615,0.0,17M
1733489617,0.0,17M
1733489619,0.0,17M
1733489622,0.0,17M
1733489624,0.0,17M
1733489627,0.0,17M
1733489629,0.0,17M
1733489631,0.0,17M
1733489634,0.0,17M
1733489636,0.0,17M
1733489638,0.0,17M
1733489641,0.0,17M
1733489643,0.0,17M
1733489645,0.0,17M
1733489648,0.0,17M
1733489650,0.0,17M
1733489653,0.0,17M
1733489655,0.0,17M
1733489657,0.0,17M
1733489660,0.0,17M
1733489662,0.0,17M
1733489664,0.0,17M
1733489667,0.0,17M
1733489669,0.0,17M
1733489671,0.0,17M
1733489674,0.0,17M
1733489676,0.0,17M
1733489678,0.0,17M
1733489681,0.0,17M
1733489683,0.0,17M
1733489686,0.0,17M
1733489688,0.0,17M
1733489690,0.0,17M
1733489693,0.0,17M
1733489695,0.0,17M
1733489697,0.0,17M
1733489700,0.0,17M
1733489702,0.0,17M
1733489704,0.0,17M
1733489707,0.0,17M
1733489709,0.0,17M
1733489712,0.1,17M
1733489714,0.0,17M
1733489716,0.0,17M
1733489719,0.0,17M
1733489721,0.0,17M
