timestamp,cpu_percent,memory
1733479288,5.0,11M
1733479290,5.1,11M
1733479293,6.6,11M
1733479295,5.0,11M
1733479297,5.3,11M
1733479300,5.1,11M
1733479302,4.8,11M
1733479304,6.6,11M
1733479307,5.1,11M
1733479309,4.7,11M
1733479311,5.3,11M
1733479314,5.1,11M
1733479316,5.4,11M
1733479318,5.7,11M
1733479321,5.1,11M
1733479323,5.3,11M
1733479325,5.3,11M+
1733479328,5.2,11M
1733479330,6.8,11M+
1733479332,5.1,11M
1733479335,5.1,11M
1733479337,5.4,11M
1733479339,5.2,11M
1733479342,5.3,11M
1733479344,3.7,11M
1733479346,4.7,11M
1733479349,4.5,11M
1733479351,5.1,11M
1733479353,4.7,11M
1733479356,5.1,11M
1733479358,5.0,11M
1733479360,5.3,11M
1733479363,4.9,11M
1733479365,5.3,11M
1733479367,5.6,11M+
1733479369,5.1,11M
1733479372,5.0,11M
1733479374,5.0,11M
1733479377,5.1,11M
1733479379,6.7,11M+
1733479381,5.3,11M
1733479384,5.4,11M
1733479386,5.0,11M
1733479388,5.1,11M
1733479391,6.7,11M
1733479393,5.3,11M
1733479395,5.1,11M
1733479398,4.7,11M
1733479400,5.2,11M
1733479402,5.2,11M
1733479405,5.1,11M
1733479407,5.0,11M
1733479409,4.2,11M
1733479411,4.8,11M
1733479414,6.5,11M+
1733479416,5.4,11M
1733479418,5.1,11M
1733479421,4.8,11M
1733479423,5.3,11M
1733479425,6.7,11M
1733479428,5.1,11M
1733479430,5.2,11M
1733479432,4.9,11M
1733479435,5.1,11M
1733479437,6.8,11M
1733479439,5.2,11M
1733479442,5.6,11M
1733479444,5.0,11M
1733479446,4.8,11M
1733479448,7.0,11M
1733479451,5.2,11M
1733479453,4.7,11M
1733479455,5.2,11M
1733479458,5.0,11M
1733479460,5.2,11M
1733479462,5.3,11M
1733479465,5.1,11M
1733479467,4.9,11M
1733479469,4.3,11M
1733479472,5.2,11M
1733479474,5.0,11M
1733479476,5.2,11M+
1733479479,5.0,11M
1733479481,5.0,11M
1733479483,5.0,11M
1733479485,5.2,11M
1733479488,5.4,11M
1733479490,5.4,11M
1733479492,4.8,11M
1733479495,5.4,11M
1733479497,5.2,11M
1733479499,4.9,11M
1733479502,4.9,11M
1733479504,5.2,11M
1733479506,5.4,11M
1733479509,5.4,11M
1733479511,5.3,11M
1733479513,4.9,11M
1733479516,5.2,11M
1733479518,5.2,11M
1733479520,5.3,11M
1733479522,5.3,11M
1733479525,5.4,11M
1733479527,5.3,11M
1733479529,4.9,11M
1733479532,5.1,11M
1733479534,6.1,11M
1733479536,5.2,11M
1733479539,5.0,11M
1733479541,4.7,11M
1733479543,4.9,11M
1733479546,4.8,11M
1733479548,5.5,11M
1733479550,5.1,11M
1733479553,5.1,11M
1733479555,5.3,11M
1733479557,5.3,11M
1733479560,6.1,11M
1733479562,4.9,11M
1733479564,5.3,11M
1733479567,5.0,11M
1733479569,5.0,11M
1733479571,4.9,11M
1733479574,4.9,11M
1733479576,5.2,11M
1733479578,5.3,11M
1733479581,5.3,11M
1733479583,5.2,11M
1733479585,5.8,11M
1733479588,5.1,11M
1733479590,5.5,11M
1733479592,5.2,11M
1733479594,5.8,11M
1733479597,5.8,11M
1733479599,5.4,11M
1733479601,5.4,11M
1733479604,5.5,11M
1733479606,5.3,11M
1733479608,5.2,11M
1733479611,5.2,11M
1733479613,5.2,11M
1733479615,5.3,11M
1733479618,6.1,11M+
1733479620,5.2,11M
1733479622,5.4,11M
1733479625,4.9,11M
1733479627,4.9,11M
1733479629,6.7,11M
1733479632,5.6,11M
1733479634,5.3,11M
1733479636,5.6,11M
1733479638,5.6,11M
1733479641,6.5,11M
1733479643,5.7,11M
1733479645,5.3,11M
1733479648,6.0,11M
1733479650,5.3,11M
1733479652,5.2,11M
1733479655,5.4,11M
1733479657,5.3,11M
1733479659,5.3,11M
1733479662,6.8,11M
1733479664,5.7,11M
1733479666,5.1,11M
1733479668,5.5,11M
1733479671,5.5,11M
1733479673,5.4,11M
1733479675,5.8,11M
1733479678,5.2,11M
1733479680,5.1,11M
1733479682,5.4,11M
1733479685,5.0,11M
1733479687,5.6,11M
1733479689,5.2,11M
1733479692,5.3,11M
1733479694,5.1,11M
1733479696,5.3,11M
1733479699,5.4,11M
1733479701,5.6,11M
1733479703,5.4,11M
1733479706,5.2,11M
1733479708,5.3,11M
1733479710,5.6,11M
1733479713,5.6,11M
1733479715,5.3,11M
1733479717,5.3,11M
1733479719,5.6,11M
1733479722,7.1,11M
1733479724,5.5,11M
1733479726,5.2,11M
1733479729,5.1,11M
1733479731,5.5,11M
1733479733,6.8,11M
1733479736,5.9,11M
1733479738,5.4,11M
1733479740,5.5,11M
1733479742,4.9,11M
1733479745,6.5,11M
1733479747,5.6,11M
1733479749,5.1,11M
1733479752,5.6,11M
1733479754,5.2,11M
1733479756,5.1,11M
1733479759,5.7,11M
1733479761,5.7,11M
1733479763,5.0,11M
1733479765,5.3,11M
1733479768,5.1,11M
1733479770,7.0,11M
1733479772,5.7,11M
1733479775,5.6,11M
1733479777,5.2,11M
1733479779,5.8,11M
1733479782,5.5,11M
1733479784,5.7,11M
1733479786,5.3,11M
1733479789,5.7,11M
1733479791,5.6,11M
1733479793,5.5,11M
1733479796,6.3,11M
1733479798,5.6,11M
1733479800,5.7,11M
1733479802,5.5,11M
1733479805,5.5,11M
1733479807,5.0,11M
1733479809,6.6,11M
1733479812,5.8,11M
1733479814,5.1,11M
1733479816,5.6,11M
1733479819,5.7,11M
1733479821,5.3,11M
1733479823,6.4,11M
1733479826,5.3,11M
1733479828,4.9,11M
1733479830,5.3,11M
1733479832,5.1,11M
1733479835,5.5,11M
1733479837,5.5,11M
1733479839,5.2,11M
1733479842,5.2,11M
1733479844,5.2,11M
1733479846,5.1,11M
1733479849,5.4,11M
1733479851,6.3,11M
1733479853,5.3,11M
1733479855,5.3,11M
1733479858,5.5,11M
1733479860,5.5,11M
1733479862,5.6,11M
1733479865,4.9,11M
1733479867,5.1,11M
1733479869,5.3,11M
1733479871,5.5,11M
1733479874,6.6,11M
1733479876,5.2,11M
1733479878,5.4,11M
1733479881,5.0,11M
1733479883,5.3,11M
